slot_name,unique_id,x,y,z,qx,qy,qz,qw
t2/Slot1,[37672960559227],20.700,12.271,1.015,0.000,0.000,0.707,0.707
t2/Slot6,[37677255526523],21.726,12.730,1.015,0.000,0.000,0.707,-0.707
t2/Slot2,[37681550493819],21.726,12.271,1.015,0.000,0.000,0.707,0.707
t2/Slot8,[37685845461115],24.240,12.730,1.015,0.000,0.000,0.707,-0.707
t2/Slot4,[37690140428411],24.240,12.271,1.015,0.000,0.000,0.707,0.707
t2/Slot3,[37694435395707],23.214,12.271,1.015,0.000,0.000,0.707,0.707
J02/RackSlot6,[38201241536635],15.458,3.370,0.023,0.000,0.000,1.000,-0.000
J02/RackSlot15,[38205536503931],15.354,4.231,2.224,0.000,0.000,1.000,-0.000
J02/RackSlot7,[38209831471227],15.354,4.231,0.768,0.000,0.000,1.000,-0.000
J02/RackSlot8,[38214126438523],15.354,3.370,0.768,0.000,0.000,1.000,-0.000
J02/RackSlot1,[38218421405819],14.583,4.231,0.023,0.000,0.000,0.000,1.000
J02/RackSlot4,[38222716373115],14.685,3.370,0.768,0.000,0.000,0.000,1.000
J02/RackSlot9,[38227011340411],14.685,4.231,1.482,0.000,0.000,0.000,1.000
J02/RackSlot5,[38231306307707],15.458,4.231,0.023,0.000,0.000,1.000,-0.000
J02/RackSlot14,[38235601275003],15.354,3.370,1.482,0.000,0.000,1.000,-0.000
J02/RackSlot16,[38239896242299],15.354,3.370,2.224,0.000,0.000,1.000,-0.000
J02/RackSlot3,[38244191209595],14.685,4.231,0.768,0.000,0.000,0.000,1.000
J02/RackSlot11,[38248486176891],14.685,4.231,2.224,0.000,0.000,0.000,1.000
J02/RackSlot10,[38252781144187],14.685,3.370,1.482,0.000,0.000,0.000,1.000
J02/RackSlot12,[38257076111483],14.685,3.370,2.224,0.000,0.000,0.000,1.000
J02/RackSlot2,[38261371078779],14.583,3.370,0.023,0.000,0.000,0.000,1.000
J02/RackSlot13,[38265666046075],15.354,4.231,1.482,0.000,0.000,1.000,-0.000
J01/RackSlot15,[38291435849851],15.354,6.464,2.224,0.000,0.000,1.000,-0.000
J01/RackSlot1,[38295730817147],14.583,6.464,0.023,0.000,0.000,0.000,1.000
J01/RackSlot11,[38300025784443],14.685,6.464,2.224,0.000,0.000,0.000,1.000
J01/RackSlot4,[38304320751739],14.685,5.603,0.768,0.000,0.000,0.000,1.000
J01/RackSlot2,[38308615719035],14.583,5.603,0.023,0.000,0.000,0.000,1.000
J01/RackSlot10,[38312910686331],14.685,5.603,1.482,0.000,0.000,0.000,1.000
J01/RackSlot7,[38317205653627],15.354,6.464,0.768,0.000,0.000,1.000,-0.000
J01/RackSlot14,[38321500620923],15.354,5.603,1.482,0.000,0.000,1.000,-0.000
J01/RackSlot8,[38325795588219],15.354,5.603,0.768,0.000,0.000,1.000,-0.000
J01/RackSlot3,[38330090555515],14.685,6.464,0.768,0.000,0.000,0.000,1.000
J01/RackSlot16,[38334385522811],15.354,5.603,2.224,0.000,0.000,1.000,-0.000
J01/RackSlot5,[38338680490107],15.458,6.464,0.023,0.000,0.000,1.000,-0.000
J01/RackSlot9,[38342975457403],14.685,6.464,1.482,0.000,0.000,0.000,1.000
J01/RackSlot13,[38347270424699],15.354,6.464,1.482,0.000,0.000,1.000,-0.000
J01/RackSlot6,[38351565391995],15.458,5.603,0.023,0.000,0.000,1.000,-0.000
J01/RackSlot12,[38355860359291],14.685,5.603,2.224,0.000,0.000,0.000,1.000
D02/RackSlot6,[38360155326587],15.458,22.386,0.023,0.000,0.000,1.000,-0.000
D02/RackSlot15,[38364450293883],15.354,23.247,2.224,0.000,0.000,1.000,-0.000
D02/RackSlot7,[38368745261179],15.354,23.247,0.768,0.000,0.000,1.000,-0.000
D02/RackSlot8,[38373040228475],15.354,22.386,0.768,0.000,0.000,1.000,-0.000
D02/RackSlot1,[38377335195771],14.583,23.247,0.023,0.000,0.000,0.000,1.000
D02/RackSlot4,[38381630163067],14.685,22.386,0.768,0.000,0.000,0.000,1.000
D02/RackSlot9,[38385925130363],14.685,23.247,1.482,0.000,0.000,0.000,1.000
D02/RackSlot5,[38390220097659],15.458,23.247,0.023,0.000,0.000,1.000,-0.000
D02/RackSlot14,[38394515064955],15.354,22.386,1.482,0.000,0.000,1.000,-0.000
D02/RackSlot16,[38398810032251],15.354,22.386,2.224,0.000,0.000,1.000,-0.000
D02/RackSlot3,[38403104999547],14.685,23.247,0.768,0.000,0.000,0.000,1.000
D02/RackSlot11,[38407399966843],14.685,23.247,2.224,0.000,0.000,0.000,1.000
D02/RackSlot10,[38411694934139],14.685,22.386,1.482,0.000,0.000,0.000,1.000
D02/RackSlot12,[38415989901435],14.685,22.386,2.224,0.000,0.000,0.000,1.000
D02/RackSlot2,[38420284868731],14.583,22.386,0.023,0.000,0.000,0.000,1.000
D02/RackSlot13,[38424579836027],15.354,23.247,1.482,0.000,0.000,1.000,-0.000
D01/RackSlot15,[38450349639803],15.354,25.480,2.224,0.000,0.000,1.000,-0.000
D01/RackSlot1,[38454644607099],14.583,25.480,0.023,0.000,0.000,0.000,1.000
D01/RackSlot11,[38458939574395],14.685,25.480,2.224,0.000,0.000,0.000,1.000
D01/RackSlot4,[38463234541691],14.685,24.619,0.768,0.000,0.000,0.000,1.000
D01/RackSlot2,[38467529508987],14.583,24.619,0.023,0.000,0.000,0.000,1.000
D01/RackSlot10,[38471824476283],14.685,24.619,1.482,0.000,0.000,0.000,1.000
D01/RackSlot7,[38476119443579],15.354,25.480,0.768,0.000,0.000,1.000,-0.000
D01/RackSlot14,[38480414410875],15.354,24.619,1.482,0.000,0.000,1.000,-0.000
D01/RackSlot8,[38484709378171],15.354,24.619,0.768,0.000,0.000,1.000,-0.000
D01/RackSlot3,[38489004345467],14.685,25.480,0.768,0.000,0.000,0.000,1.000
D01/RackSlot16,[38493299312763],15.354,24.619,2.224,0.000,0.000,1.000,-0.000
D01/RackSlot5,[38497594280059],15.458,25.480,0.023,0.000,0.000,1.000,-0.000
D01/RackSlot9,[38501889247355],14.685,25.480,1.482,0.000,0.000,0.000,1.000
D01/RackSlot13,[38506184214651],15.354,25.480,1.482,0.000,0.000,1.000,-0.000
D01/RackSlot6,[38510479181947],15.458,24.619,0.023,0.000,0.000,1.000,-0.000
D01/RackSlot12,[38514774149243],14.685,24.619,2.224,0.000,0.000,0.000,1.000
D04/RackSlot6,[38519069116539],15.458,17.876,0.023,0.000,0.000,1.000,-0.000
D04/RackSlot15,[38523364083835],15.354,18.737,2.224,0.000,0.000,1.000,-0.000
D04/RackSlot7,[38527659051131],15.354,18.737,0.768,0.000,0.000,1.000,-0.000
D04/RackSlot8,[38531954018427],15.354,17.876,0.768,0.000,0.000,1.000,-0.000
D04/RackSlot1,[38536248985723],14.583,18.737,0.023,0.000,0.000,0.000,1.000
D04/RackSlot4,[38540543953019],14.685,17.876,0.768,0.000,0.000,0.000,1.000
D04/RackSlot9,[38544838920315],14.685,18.737,1.482,0.000,0.000,0.000,1.000
D04/RackSlot5,[38549133887611],15.458,18.737,0.023,0.000,0.000,1.000,-0.000
D04/RackSlot14,[38553428854907],15.354,17.876,1.482,0.000,0.000,1.000,-0.000
D04/RackSlot16,[38557723822203],15.354,17.876,2.224,0.000,0.000,1.000,-0.000
D04/RackSlot3,[38562018789499],14.685,18.737,0.768,0.000,0.000,0.000,1.000
D04/RackSlot11,[38566313756795],14.685,18.737,2.224,0.000,0.000,0.000,1.000
D04/RackSlot10,[38570608724091],14.685,17.876,1.482,0.000,0.000,0.000,1.000
D04/RackSlot12,[38574903691387],14.685,17.876,2.224,0.000,0.000,0.000,1.000
D04/RackSlot2,[38579198658683],14.583,17.876,0.023,0.000,0.000,0.000,1.000
D04/RackSlot13,[38583493625979],15.354,18.737,1.482,0.000,0.000,1.000,-0.000
D03/RackSlot15,[38609263429755],15.354,20.970,2.224,0.000,0.000,1.000,-0.000
D03/RackSlot1,[38613558397051],14.583,20.970,0.023,0.000,0.000,0.000,1.000
D03/RackSlot11,[38617853364347],14.685,20.970,2.224,0.000,0.000,0.000,1.000
D03/RackSlot4,[38622148331643],14.685,20.109,0.768,0.000,0.000,0.000,1.000
D03/RackSlot2,[38626443298939],14.583,20.109,0.023,0.000,0.000,0.000,1.000
D03/RackSlot10,[38630738266235],14.685,20.109,1.482,0.000,0.000,0.000,1.000
D03/RackSlot7,[38635033233531],15.354,20.970,0.768,0.000,0.000,1.000,-0.000
D03/RackSlot14,[38639328200827],15.354,20.109,1.482,0.000,0.000,1.000,-0.000
D03/RackSlot8,[38643623168123],15.354,20.109,0.768,0.000,0.000,1.000,-0.000
D03/RackSlot3,[38647918135419],14.685,20.970,0.768,0.000,0.000,0.000,1.000
D03/RackSlot16,[38652213102715],15.354,20.109,2.224,0.000,0.000,1.000,-0.000
D03/RackSlot5,[38656508070011],15.458,20.970,0.023,0.000,0.000,1.000,-0.000
D03/RackSlot9,[38660803037307],14.685,20.970,1.482,0.000,0.000,0.000,1.000
D03/RackSlot13,[38665098004603],15.354,20.970,1.482,0.000,0.000,1.000,-0.000
D03/RackSlot6,[38669392971899],15.458,20.109,0.023,0.000,0.000,1.000,-0.000
D03/RackSlot12,[38673687939195],14.685,20.109,2.224,0.000,0.000,0.000,1.000
C04/RackSlot6,[38677982906491],20.458,17.876,0.023,0.000,0.000,1.000,-0.000
C04/RackSlot15,[38682277873787],20.354,18.737,2.224,0.000,0.000,1.000,-0.000
C04/RackSlot7,[38686572841083],20.354,18.737,0.768,0.000,0.000,1.000,-0.000
C04/RackSlot8,[38690867808379],20.354,17.876,0.768,0.000,0.000,1.000,-0.000
C04/RackSlot1,[38695162775675],19.583,18.737,0.023,0.000,0.000,0.000,1.000
C04/RackSlot4,[38699457742971],19.685,17.876,0.768,0.000,0.000,0.000,1.000
C04/RackSlot9,[38703752710267],19.685,18.737,1.482,0.000,0.000,0.000,1.000
C04/RackSlot5,[38708047677563],20.458,18.737,0.023,0.000,0.000,1.000,-0.000
C04/RackSlot14,[38712342644859],20.354,17.876,1.482,0.000,0.000,1.000,-0.000
C04/RackSlot16,[38716637612155],20.354,17.876,2.224,0.000,0.000,1.000,-0.000
C04/RackSlot3,[38720932579451],19.685,18.737,0.768,0.000,0.000,0.000,1.000
C04/RackSlot11,[38725227546747],19.685,18.737,2.224,0.000,0.000,0.000,1.000
C04/RackSlot10,[38729522514043],19.685,17.876,1.482,0.000,0.000,0.000,1.000
C04/RackSlot12,[38733817481339],19.685,17.876,2.224,0.000,0.000,0.000,1.000
C04/RackSlot2,[38738112448635],19.583,17.876,0.023,0.000,0.000,0.000,1.000
C04/RackSlot13,[38742407415931],20.354,18.737,1.482,0.000,0.000,1.000,-0.000
C03/RackSlot15,[38768177219707],20.354,20.970,2.224,0.000,0.000,1.000,-0.000
C03/RackSlot1,[38772472187003],19.583,20.970,0.023,0.000,0.000,0.000,1.000
C03/RackSlot11,[38776767154299],19.685,20.970,2.224,0.000,0.000,0.000,1.000
C03/RackSlot4,[38781062121595],19.685,20.109,0.768,0.000,0.000,0.000,1.000
C03/RackSlot2,[38785357088891],19.583,20.109,0.023,0.000,0.000,0.000,1.000
C03/RackSlot10,[38789652056187],19.685,20.109,1.482,0.000,0.000,0.000,1.000
C03/RackSlot7,[38793947023483],20.354,20.970,0.768,0.000,0.000,1.000,-0.000
C03/RackSlot14,[38798241990779],20.354,20.109,1.482,0.000,0.000,1.000,-0.000
C03/RackSlot8,[38802536958075],20.354,20.109,0.768,0.000,0.000,1.000,-0.000
C03/RackSlot3,[38806831925371],19.685,20.970,0.768,0.000,0.000,0.000,1.000
C03/RackSlot16,[38811126892667],20.354,20.109,2.224,0.000,0.000,1.000,-0.000
C03/RackSlot5,[38815421859963],20.458,20.970,0.023,0.000,0.000,1.000,-0.000
C03/RackSlot9,[38819716827259],19.685,20.970,1.482,0.000,0.000,0.000,1.000
C03/RackSlot13,[38824011794555],20.354,20.970,1.482,0.000,0.000,1.000,-0.000
C03/RackSlot6,[38828306761851],20.458,20.109,0.023,0.000,0.000,1.000,-0.000
C03/RackSlot12,[38832601729147],19.685,20.109,2.224,0.000,0.000,0.000,1.000
C02/RackSlot6,[38836896696443],20.458,22.386,0.023,0.000,0.000,1.000,-0.000
C02/RackSlot15,[38841191663739],20.354,23.247,2.224,0.000,0.000,1.000,-0.000
C02/RackSlot7,[38845486631035],20.354,23.247,0.768,0.000,0.000,1.000,-0.000
C02/RackSlot8,[38849781598331],20.354,22.386,0.768,0.000,0.000,1.000,-0.000
C02/RackSlot1,[38854076565627],19.583,23.247,0.023,0.000,0.000,0.000,1.000
C02/RackSlot4,[38858371532923],19.685,22.386,0.768,0.000,0.000,0.000,1.000
C02/RackSlot9,[38862666500219],19.685,23.247,1.482,0.000,0.000,0.000,1.000
C02/RackSlot5,[38866961467515],20.458,23.247,0.023,0.000,0.000,1.000,-0.000
C02/RackSlot14,[38871256434811],20.354,22.386,1.482,0.000,0.000,1.000,-0.000
C02/RackSlot16,[38875551402107],20.354,22.386,2.224,0.000,0.000,1.000,-0.000
C02/RackSlot3,[38879846369403],19.685,23.247,0.768,0.000,0.000,0.000,1.000
C02/RackSlot11,[38884141336699],19.685,23.247,2.224,0.000,0.000,0.000,1.000
C02/RackSlot10,[38888436303995],19.685,22.386,1.482,0.000,0.000,0.000,1.000
C02/RackSlot12,[38892731271291],19.685,22.386,2.224,0.000,0.000,0.000,1.000
C02/RackSlot2,[38897026238587],19.583,22.386,0.023,0.000,0.000,0.000,1.000
C02/RackSlot13,[38901321205883],20.354,23.247,1.482,0.000,0.000,1.000,-0.000
C01/RackSlot15,[38927091009659],20.354,25.480,2.224,0.000,0.000,1.000,-0.000
C01/RackSlot1,[38931385976955],19.583,25.480,0.023,0.000,0.000,0.000,1.000
C01/RackSlot11,[38935680944251],19.685,25.480,2.224,0.000,0.000,0.000,1.000
C01/RackSlot4,[38939975911547],19.685,24.619,0.768,0.000,0.000,0.000,1.000
C01/RackSlot2,[38944270878843],19.583,24.619,0.023,0.000,0.000,0.000,1.000
C01/RackSlot10,[38948565846139],19.685,24.619,1.482,0.000,0.000,0.000,1.000
C01/RackSlot7,[38952860813435],20.354,25.480,0.768,0.000,0.000,1.000,-0.000
C01/RackSlot14,[38957155780731],20.354,24.619,1.482,0.000,0.000,1.000,-0.000
C01/RackSlot8,[38961450748027],20.354,24.619,0.768,0.000,0.000,1.000,-0.000
C01/RackSlot3,[38965745715323],19.685,25.480,0.768,0.000,0.000,0.000,1.000
C01/RackSlot16,[38970040682619],20.354,24.619,2.224,0.000,0.000,1.000,-0.000
C01/RackSlot5,[38974335649915],20.458,25.480,0.023,0.000,0.000,1.000,-0.000
C01/RackSlot9,[38978630617211],19.685,25.480,1.482,0.000,0.000,0.000,1.000
C01/RackSlot13,[38982925584507],20.354,25.480,1.482,0.000,0.000,1.000,-0.000
C01/RackSlot6,[38987220551803],20.458,24.619,0.023,0.000,0.000,1.000,-0.000
C01/RackSlot12,[38991515519099],19.685,24.619,2.224,0.000,0.000,0.000,1.000
A04/RackSlot6,[38995810486395],29.676,20.672,0.023,0.000,0.000,1.000,-0.000
A04/RackSlot15,[39000105453691],29.573,21.533,2.224,0.000,0.000,1.000,-0.000
A04/RackSlot7,[39004400420987],29.573,21.533,0.768,0.000,0.000,1.000,-0.000
A04/RackSlot8,[39008695388283],29.573,20.672,0.768,0.000,0.000,1.000,-0.000
A04/RackSlot1,[39012990355579],28.802,21.533,0.023,0.000,0.000,0.000,1.000
A04/RackSlot4,[39017285322875],28.904,20.672,0.768,0.000,0.000,0.000,1.000
A04/RackSlot9,[39021580290171],28.904,21.533,1.482,0.000,0.000,0.000,1.000
A04/RackSlot5,[39025875257467],29.676,21.533,0.023,0.000,0.000,1.000,-0.000
A04/RackSlot14,[39030170224763],29.573,20.672,1.482,0.000,0.000,1.000,-0.000
A04/RackSlot16,[39034465192059],29.573,20.672,2.224,0.000,0.000,1.000,-0.000
A04/RackSlot3,[39038760159355],28.904,21.533,0.768,0.000,0.000,0.000,1.000
A04/RackSlot11,[39043055126651],28.904,21.533,2.224,0.000,0.000,0.000,1.000
A04/RackSlot10,[39047350093947],28.904,20.672,1.482,0.000,0.000,0.000,1.000
A04/RackSlot12,[39051645061243],28.904,20.672,2.224,0.000,0.000,0.000,1.000
A04/RackSlot2,[39055940028539],28.802,20.672,0.023,0.000,0.000,0.000,1.000
A04/RackSlot13,[39060234995835],29.573,21.533,1.482,0.000,0.000,1.000,-0.000
A03/RackSlot15,[39086004799611],29.573,23.766,2.224,0.000,0.000,1.000,-0.000
A03/RackSlot1,[39090299766907],28.802,23.766,0.023,0.000,0.000,0.000,1.000
A03/RackSlot11,[39094594734203],28.904,23.766,2.224,0.000,0.000,0.000,1.000
A03/RackSlot4,[39098889701499],28.904,22.905,0.768,0.000,0.000,0.000,1.000
A03/RackSlot2,[39103184668795],28.802,22.905,0.023,0.000,0.000,0.000,1.000
A03/RackSlot10,[39107479636091],28.904,22.905,1.482,0.000,0.000,0.000,1.000
A03/RackSlot7,[39111774603387],29.573,23.766,0.768,0.000,0.000,1.000,-0.000
A03/RackSlot14,[39116069570683],29.573,22.905,1.482,0.000,0.000,1.000,-0.000
A03/RackSlot8,[39120364537979],29.573,22.905,0.768,0.000,0.000,1.000,-0.000
A03/RackSlot3,[39124659505275],28.904,23.766,0.768,0.000,0.000,0.000,1.000
A03/RackSlot16,[39128954472571],29.573,22.905,2.224,0.000,0.000,1.000,-0.000
A03/RackSlot5,[39133249439867],29.676,23.766,0.023,0.000,0.000,1.000,-0.000
A03/RackSlot9,[39137544407163],28.904,23.766,1.482,0.000,0.000,0.000,1.000
A03/RackSlot13,[39141839374459],29.573,23.766,1.482,0.000,0.000,1.000,-0.000
A03/RackSlot6,[39146134341755],29.676,22.905,0.023,0.000,0.000,1.000,-0.000
A03/RackSlot12,[39150429309051],28.904,22.905,2.224,0.000,0.000,0.000,1.000
G04/RackSlot6,[39154724276347],29.676,6.517,0.023,0.000,0.000,1.000,-0.000
G04/RackSlot15,[39159019243643],29.573,7.378,2.224,0.000,0.000,1.000,-0.000
G04/RackSlot7,[39163314210939],29.573,7.378,0.768,0.000,0.000,1.000,-0.000
G04/RackSlot8,[39167609178235],29.573,6.517,0.768,0.000,0.000,1.000,-0.000
G04/RackSlot1,[39171904145531],28.802,7.378,0.023,0.000,0.000,0.000,1.000
G04/RackSlot4,[39176199112827],28.904,6.517,0.768,0.000,0.000,0.000,1.000
G04/RackSlot9,[39180494080123],28.904,7.378,1.482,0.000,0.000,0.000,1.000
G04/RackSlot5,[39184789047419],29.676,7.378,0.023,0.000,0.000,1.000,-0.000
G04/RackSlot14,[39189084014715],29.573,6.517,1.482,0.000,0.000,1.000,-0.000
G04/RackSlot16,[39193378982011],29.573,6.517,2.224,0.000,0.000,1.000,-0.000
G04/RackSlot3,[39197673949307],28.904,7.378,0.768,0.000,0.000,0.000,1.000
G04/RackSlot11,[39201968916603],28.904,7.378,2.224,0.000,0.000,0.000,1.000
G04/RackSlot10,[39206263883899],28.904,6.517,1.482,0.000,0.000,0.000,1.000
G04/RackSlot12,[39210558851195],28.904,6.517,2.224,0.000,0.000,0.000,1.000
G04/RackSlot2,[39214853818491],28.802,6.517,0.023,0.000,0.000,0.000,1.000
G04/RackSlot13,[39219148785787],29.573,7.378,1.482,0.000,0.000,1.000,-0.000
G03/RackSlot15,[39244918589563],29.573,9.611,2.224,0.000,0.000,1.000,-0.000
G03/RackSlot1,[39249213556859],28.802,9.611,0.023,0.000,0.000,0.000,1.000
G03/RackSlot11,[39253508524155],28.904,9.611,2.224,0.000,0.000,0.000,1.000
G03/RackSlot4,[39257803491451],28.904,8.750,0.768,0.000,0.000,0.000,1.000
G03/RackSlot2,[39262098458747],28.802,8.750,0.023,0.000,0.000,0.000,1.000
G03/RackSlot10,[39266393426043],28.904,8.750,1.482,0.000,0.000,0.000,1.000
G03/RackSlot7,[39270688393339],29.573,9.611,0.768,0.000,0.000,1.000,-0.000
G03/RackSlot14,[39274983360635],29.573,8.750,1.482,0.000,0.000,1.000,-0.000
G03/RackSlot8,[39279278327931],29.573,8.750,0.768,0.000,0.000,1.000,-0.000
G03/RackSlot3,[39283573295227],28.904,9.611,0.768,0.000,0.000,0.000,1.000
G03/RackSlot16,[39287868262523],29.573,8.750,2.224,0.000,0.000,1.000,-0.000
G03/RackSlot5,[39292163229819],29.676,9.611,0.023,0.000,0.000,1.000,-0.000
G03/RackSlot9,[39296458197115],28.904,9.611,1.482,0.000,0.000,0.000,1.000
G03/RackSlot13,[39300753164411],29.573,9.611,1.482,0.000,0.000,1.000,-0.000
G03/RackSlot6,[39305048131707],29.676,8.750,0.023,0.000,0.000,1.000,-0.000
G03/RackSlot12,[39309343099003],28.904,8.750,2.224,0.000,0.000,0.000,1.000
A06/RackSlot6,[39313638066299],29.676,16.165,0.023,0.000,0.000,1.000,-0.000
A06/RackSlot15,[39317933033595],29.573,17.026,2.224,0.000,0.000,1.000,-0.000
A06/RackSlot7,[39322228000891],29.573,17.026,0.768,0.000,0.000,1.000,-0.000
A06/RackSlot8,[39326522968187],29.573,16.165,0.768,0.000,0.000,1.000,-0.000
A06/RackSlot1,[39330817935483],28.802,17.026,0.023,0.000,0.000,0.000,1.000
A06/RackSlot4,[39335112902779],28.904,16.165,0.768,0.000,0.000,0.000,1.000
A06/RackSlot9,[39339407870075],28.904,17.026,1.482,0.000,0.000,0.000,1.000
A06/RackSlot5,[39343702837371],29.676,17.026,0.023,0.000,0.000,1.000,-0.000
A06/RackSlot14,[39347997804667],29.573,16.165,1.482,0.000,0.000,1.000,-0.000
A06/RackSlot16,[39352292771963],29.573,16.165,2.224,0.000,0.000,1.000,-0.000
A06/RackSlot3,[39356587739259],28.904,17.026,0.768,0.000,0.000,0.000,1.000
A06/RackSlot11,[39360882706555],28.904,17.026,2.224,0.000,0.000,0.000,1.000
A06/RackSlot10,[39365177673851],28.904,16.165,1.482,0.000,0.000,0.000,1.000
A06/RackSlot12,[39369472641147],28.904,16.165,2.224,0.000,0.000,0.000,1.000
A06/RackSlot2,[39373767608443],28.802,16.165,0.023,0.000,0.000,0.000,1.000
A06/RackSlot13,[39378062575739],29.573,17.026,1.482,0.000,0.000,1.000,-0.000
A05/RackSlot15,[39403832379515],29.573,19.259,2.224,0.000,0.000,1.000,-0.000
A05/RackSlot1,[39408127346811],28.802,19.259,0.023,0.000,0.000,0.000,1.000
A05/RackSlot11,[39412422314107],28.904,19.259,2.224,0.000,0.000,0.000,1.000
A05/RackSlot4,[39416717281403],28.904,18.398,0.768,0.000,0.000,0.000,1.000
A05/RackSlot2,[39421012248699],28.802,18.398,0.023,0.000,0.000,0.000,1.000
A05/RackSlot10,[39425307215995],28.904,18.398,1.482,0.000,0.000,0.000,1.000
A05/RackSlot7,[39429602183291],29.573,19.259,0.768,0.000,0.000,1.000,-0.000
A05/RackSlot14,[39433897150587],29.573,18.398,1.482,0.000,0.000,1.000,-0.000
A05/RackSlot8,[39438192117883],29.573,18.398,0.768,0.000,0.000,1.000,-0.000
A05/RackSlot3,[39442487085179],28.904,19.259,0.768,0.000,0.000,0.000,1.000
A05/RackSlot16,[39446782052475],29.573,18.398,2.224,0.000,0.000,1.000,-0.000
A05/RackSlot5,[39451077019771],29.676,19.259,0.023,0.000,0.000,1.000,-0.000
A05/RackSlot9,[39455371987067],28.904,19.259,1.482,0.000,0.000,0.000,1.000
A05/RackSlot13,[39459666954363],29.573,19.259,1.482,0.000,0.000,1.000,-0.000
A05/RackSlot6,[39463961921659],29.676,18.398,0.023,0.000,0.000,1.000,-0.000
A05/RackSlot12,[39468256888955],28.904,18.398,2.224,0.000,0.000,0.000,1.000
A02/RackSlot6,[39472551856251],29.676,25.176,0.023,0.000,0.000,1.000,-0.000
A02/RackSlot15,[39476846823547],29.573,26.037,2.224,0.000,0.000,1.000,-0.000
A02/RackSlot7,[39481141790843],29.573,26.037,0.768,0.000,0.000,1.000,-0.000
A02/RackSlot8,[39485436758139],29.573,25.176,0.768,0.000,0.000,1.000,-0.000
A02/RackSlot1,[39489731725435],28.802,26.037,0.023,0.000,0.000,0.000,1.000
A02/RackSlot4,[39494026692731],28.904,25.176,0.768,0.000,0.000,0.000,1.000
A02/RackSlot9,[39498321660027],28.904,26.037,1.482,0.000,0.000,0.000,1.000
A02/RackSlot5,[39502616627323],29.676,26.037,0.023,0.000,0.000,1.000,-0.000
A02/RackSlot14,[39506911594619],29.573,25.176,1.482,0.000,0.000,1.000,-0.000
A02/RackSlot16,[39511206561915],29.573,25.176,2.224,0.000,0.000,1.000,-0.000
A02/RackSlot3,[39515501529211],28.904,26.037,0.768,0.000,0.000,0.000,1.000
A02/RackSlot11,[39519796496507],28.904,26.037,2.224,0.000,0.000,0.000,1.000
A02/RackSlot10,[39524091463803],28.904,25.176,1.482,0.000,0.000,0.000,1.000
A02/RackSlot12,[39528386431099],28.904,25.176,2.224,0.000,0.000,0.000,1.000
A02/RackSlot2,[39532681398395],28.802,25.176,0.023,0.000,0.000,0.000,1.000
A02/RackSlot13,[39536976365691],29.573,26.037,1.482,0.000,0.000,1.000,-0.000
A01/RackSlot15,[39562746169467],29.573,28.271,2.224,0.000,0.000,1.000,-0.000
A01/RackSlot1,[39567041136763],28.802,28.271,0.023,0.000,0.000,0.000,1.000
