slot_name,entity_type,item
C01/RackSlot17,cardboardbox01_v02D,gpu
C01/RackSlot5,cardboardbox01_v01,gpu
C01/RackSlot11,cardboardbox05_v01,gpu
C01/RackSlot3,cardboardbox01_v01,gpu
C01/RackSlot2,cardboardbox05_v01,gpu
C01/RackSlot9,cardboardbox01_v02D,gpu
C01/RackSlot15,cardboardbox05_v01,gpu
C01/RackSlot1,cardboardbox05_v01,gpu
C01/RackSlot23,cardboardbox05_v01,gpu
C01/RackSlot18,cardboardbox05_v01,gpu
C01/RackSlot13,cardboardbox01_v01,gpu
C01/RackSlot6,cardboardbox05_v01,hammers
C01/RackSlot21,cardboardbox01_v01,gpu
C01/RackSlot10,cardboardbox01_v01,gpu
C01/RackSlot19,cardboardbox01_v01,gpu
A04/RackSlot2,cardboardbox05_v01,hammers
A04/RackSlot24,cardboardbox01_v01,cpu
A04/RackSlot20,cardboardbox05_v01,cpu
A04/RackSlot21,cardboardbox01_v02D,cpu
A04/RackSlot22,cardboardbox05_v01,cpu
A04/RackSlot6,cardboardbox01_v02D,cpu
A04/RackSlot11,cardboardbox01_v02D,cpu
A04/RackSlot7,cardboardbox01_v02D,cpu
A04/RackSlot3,cardboardbox01_v01,cpu
A04/RackSlot18,cardboardbox05_v01,cpu
A04/RackSlot23,cardboardbox01_v02D,cpu
A04/RackSlot15,cardboardbox05_v01,cpu
A04/RackSlot5,cardboardbox01_v01,cpu
A04/RackSlot12,cardboardbox01_v02D,cpu
A04/RackSlot13,cardboardbox01_v02D,cpu
A04/RackSlot14,cardboardbox01_v01,hammers
A03/RackSlot14,cardboardbox05_v01,cpu
A03/RackSlot18,cardboardbox01_v01,cpu
A03/RackSlot24,cardboardbox01_v01,pipes
A03/RackSlot15,cardboardbox05_v01,cpu
A03/RackSlot17,cardboardbox05_v01,cpu
A03/RackSlot1,cardboardbox01_v02D,cpu
A03/RackSlot22,cardboardbox05_v01,cpu
A03/RackSlot11,cardboardbox05_v01,cpu
A03/RackSlot16,cardboardbox01_v01,cpu
A03/RackSlot20,cardboardbox01_v01,cpu
A03/RackSlot23,cardboardbox01_v02D,gpu
A03/RackSlot9,cardboardbox01_v01,cpu
A03/RackSlot3,cardboardbox01_v02D,cpu
A03/RackSlot13,cardboardbox01_v01,cpu
A03/RackSlot2,cardboardbox05_v01,cpu
A03/RackSlot4,cardboardbox05_v01,cpu
G04/RackSlot10,cardboardbox01_v01,pipes
G04/RackSlot6,cardboardbox01_v01,pipes
G04/RackSlot7,cardboardbox01_v01,pipes
G04/RackSlot8,cardboardbox01_v02D,pipes
G04/RackSlot15,cardboardbox01_v01,pipes
G04/RackSlot21,cardboardbox01_v01,pipes
G04/RackSlot23,cardboardbox01_v02D,pipes
G04/RackSlot14,cardboardbox05_v01,pipes
G04/RackSlot20,cardboardbox01_v01,pipes
G04/RackSlot4,cardboardbox01_v01,pipes
G04/RackSlot9,cardboardbox05_v01,pipes
G04/RackSlot1,cardboardbox05_v01,pipes
G04/RackSlot11,cardboardbox01_v02D,pipes
G04/RackSlot2,cardboardbox01_v01,pipes
G04/RackSlot24,cardboardbox01_v02D,pipes
G04/RackSlot16,cardboardbox01_v02D,pipes
G03/RackSlot14,cardboardbox05_v01,cpu
G03/RackSlot15,cardboardbox05_v01,pipes
G03/RackSlot6,cardboardbox01_v02D,pipes
G03/RackSlot7,cardboardbox05_v01,pipes
G03/RackSlot4,cardboardbox01_v02D,pipes
G03/RackSlot12,cardboardbox05_v01,pipes
G03/RackSlot10,cardboardbox01_v01,pipes
G03/RackSlot18,cardboardbox01_v01,pipes
G03/RackSlot9,cardboardbox01_v02D,pipes
G03/RackSlot24,cardboardbox01_v02D,pipes
G03/RackSlot13,cardboardbox01_v01,pipes
G03/RackSlot22,cardboardbox05_v01,pipes
G03/RackSlot23,cardboardbox01_v02D,pipes
G03/RackSlot21,cardboardbox05_v01,pipes
G03/RackSlot17,cardboardbox01_v01,pipes
G03/RackSlot11,cardboardbox05_v01,pipes
A06/RackSlot15,cardboardbox01_v01,cpu
A06/RackSlot22,cardboardbox05_v01,cpu
A06/RackSlot20,cardboardbox01_v01,cpu
A06/RackSlot3,cardboardbox01_v02D,cpu
A06/RackSlot19,cardboardbox01_v01,cpu
A06/RackSlot11,cardboardbox05_v01,cpu
A06/RackSlot13,cardboardbox01_v02D,cpu
A06/RackSlot18,cardboardbox05_v01,cpu
A06/RackSlot24,cardboardbox01_v01,cpu
A06/RackSlot10,cardboardbox05_v01,nails
A06/RackSlot5,cardboardbox01_v02D,motherboard
A06/RackSlot23,cardboardbox01_v01,motherboard
A06/RackSlot14,cardboardbox01_v02D,cpu
A06/RackSlot12,cardboardbox01_v02D,cpu
A06/RackSlot21,cardboardbox05_v01,nails
A06/RackSlot2,cardboardbox01_v02D,cpu
A05/RackSlot22,cardboardbox01_v02D,cpu
A05/RackSlot18,cardboardbox01_v01,cpu
A05/RackSlot21,cardboardbox01_v01,cpu
A05/RackSlot2,cardboardbox01_v02D,cpu
A05/RackSlot17,cardboardbox01_v01,cpu
A05/RackSlot8,cardboardbox01_v02D,cpu
A05/RackSlot7,cardboardbox01_v02D,cpu
A05/RackSlot14,cardboardbox01_v01,hammers
A05/RackSlot5,cardboardbox01_v01,cpu
A05/RackSlot16,cardboardbox05_v01,cpu
A05/RackSlot9,cardboardbox01_v02D,cpu
A05/RackSlot15,cardboardbox05_v01,cpu
A05/RackSlot23,cardboardbox05_v01,cpu
A05/RackSlot12,cardboardbox01_v01,pipes
A05/RackSlot4,cardboardbox01_v02D,cpu
A05/RackSlot3,cardboardbox05_v01,cpu
A02/RackSlot13,cardboardbox01_v01,nails
A02/RackSlot14,cardboardbox01_v01,cpu
A02/RackSlot10,cardboardbox05_v01,cpu
A02/RackSlot23,cardboardbox01_v01,gpu
A02/RackSlot1,cardboardbox05_v01,cpu
A02/RackSlot17,cardboardbox01_v01,motherboard
A02/RackSlot21,cardboardbox01_v02D,cpu
A02/RackSlot9,cardboardbox05_v01,cpu
A02/RackSlot15,cardboardbox01_v02D,cpu
A02/RackSlot18,cardboardbox05_v01,cpu
A02/RackSlot8,cardboardbox01_v02D,cpu
A02/RackSlot22,cardboardbox01_v01,cpu
A02/RackSlot2,cardboardbox05_v01,cpu
A02/RackSlot19,cardboardbox05_v01,cpu
A02/RackSlot12,cardboardbox01_v02D,cpu
A02/RackSlot7,cardboardbox01_v01,cpu
A01/RackSlot7,cardboardbox01_v01,cpu
A01/RackSlot19,cardboardbox05_v01,cpu
A01/RackSlot23,cardboardbox05_v01,cpu
A01/RackSlot22,cardboardbox01_v02D,cpu
A01/RackSlot9,cardboardbox01_v01,cpu
A01/RackSlot20,cardboardbox01_v01,pipes
A01/RackSlot18,cardboardbox05_v01,cpu
A01/RackSlot21,cardboardbox01_v02D,nails
A01/RackSlot5,cardboardbox01_v01,cpu
A01/RackSlot24,cardboardbox01_v01,cpu
A01/RackSlot3,cardboardbox01_v01,cpu
A01/RackSlot10,cardboardbox05_v01,motherboard
A01/RackSlot17,cardboardbox01_v02D,motherboard
A01/RackSlot15,cardboardbox01_v01,cpu
A01/RackSlot2,cardboardbox05_v01,cpu
A01/RackSlot13,cardboardbox05_v01,cpu
G06/RackSlot7,cardboardbox01_v01,pipes
G06/RackSlot18,cardboardbox05_v01,gpu
G06/RackSlot20,cardboardbox01_v01,hammers
G06/RackSlot15,cardboardbox01_v02D,pipes
G06/RackSlot5,cardboardbox05_v01,pipes
G06/RackSlot21,cardboardbox01_v02D,pipes
G06/RackSlot4,cardboardbox05_v01,pipes
G06/RackSlot16,cardboardbox05_v01,pipes
G06/RackSlot17,cardboardbox01_v01,pipes
G06/RackSlot8,cardboardbox01_v01,pipes
G06/RackSlot6,cardboardbox01_v02D,pipes
G06/RackSlot13,cardboardbox01_v01,motherboard
G06/RackSlot9,cardboardbox05_v01,pipes
G06/RackSlot14,cardboardbox01_v01,pipes
G06/RackSlot2,cardboardbox01_v01,pipes
G06/RackSlot11,cardboardbox05_v01,pipes
G05/RackSlot4,cardboardbox05_v01,pipes
G05/RackSlot11,cardboardbox05_v01,pipes
G05/RackSlot18,cardboardbox01_v02D,pipes
G05/RackSlot20,cardboardbox01_v02D,pipes
G05/RackSlot15,cardboardbox01_v01,hammers
G05/RackSlot1,cardboardbox01_v02D,pipes
G05/RackSlot17,cardboardbox01_v02D,pipes
G05/RackSlot22,cardboardbox05_v01,pipes
G05/RackSlot16,cardboardbox01_v01,cpu
G05/RackSlot7,cardboardbox05_v01,cpu
G05/RackSlot21,cardboardbox01_v01,motherboard
G05/RackSlot12,cardboardbox01_v02D,pipes
G05/RackSlot19,cardboardbox01_v02D,pipes
G05/RackSlot6,cardboardbox05_v01,pipes
G05/RackSlot13,cardboardbox01_v02D,pipes
G05/RackSlot23,cardboardbox01_v02D,pipes
G02/RackSlot18,cardboardbox01_v01,pipes
G02/RackSlot14,cardboardbox05_v01,pipes
G02/RackSlot20,cardboardbox01_v02D,pipes
G02/RackSlot12,cardboardbox01_v01,pipes
G02/RackSlot2,cardboardbox01_v01,pipes
G02/RackSlot11,cardboardbox01_v01,pipes
G02/RackSlot3,cardboardbox05_v01,pipes
G02/RackSlot9,cardboardbox01_v01,pipes
G02/RackSlot4,cardboardbox01_v02D,pipes
G02/RackSlot16,cardboardbox01_v01,pipes
G02/RackSlot22,cardboardbox01_v02D,pipes
G02/RackSlot23,cardboardbox05_v01,pipes
G02/RackSlot17,cardboardbox01_v01,pipes
G02/RackSlot6,cardboardbox01_v01,pipes
G02/RackSlot10,cardboardbox01_v01,pipes
G02/RackSlot24,cardboardbox01_v02D,pipes
G01/RackSlot18,cardboardbox05_v01,hammers
G01/RackSlot24,cardboardbox05_v01,pipes
G01/RackSlot20,cardboardbox01_v02D,pipes
G01/RackSlot6,cardboardbox01_v01,cpu
G01/RackSlot22,cardboardbox01_v01,pipes
G01/RackSlot23,cardboardbox05_v01,gpu
G01/RackSlot12,cardboardbox05_v01,pipes
G01/RackSlot5,cardboardbox01_v02D,pipes
G01/RackSlot21,cardboardbox05_v01,pipes
G01/RackSlot19,cardboardbox05_v01,pipes
G01/RackSlot13,cardboardbox05_v01,pipes
G01/RackSlot11,cardboardbox01_v01,pipes
G01/RackSlot10,cardboardbox01_v02D,pipes
G01/RackSlot1,cardboardbox01_v02D,pipes
G01/RackSlot9,cardboardbox01_v02D,nails
G01/RackSlot2,cardboardbox05_v01,pipes
H02/RackSlot13,cardboardbox05_v01,pipes
H02/RackSlot4,cardboardbox01_v01,pipes
H02/RackSlot15,cardboardbox01_v02D,pipes
H02/RackSlot17,cardboardbox05_v01,pipes
H02/RackSlot8,cardboardbox01_v02D,pipes
H02/RackSlot2,cardboardbox01_v01,pipes
H02/RackSlot1,cardboardbox01_v01,pipes
H02/RackSlot9,cardboardbox05_v01,pipes
H02/RackSlot7,cardboardbox01_v01,pipes
H02/RackSlot21,cardboardbox01_v01,pipes
H02/RackSlot19,cardboardbox05_v01,pipes
H02/RackSlot16,cardboardbox01_v01,nails
H02/RackSlot23,cardboardbox01_v02D,pipes
H02/RackSlot10,cardboardbox01_v02D,pipes
H02/RackSlot14,cardboardbox01_v01,pipes
H02/RackSlot3,cardboardbox01_v02D,pipes
H01/RackSlot11,cardboardbox01_v01,pipes
H01/RackSlot15,cardboardbox05_v01,pipes
H01/RackSlot13,cardboardbox01_v01,pipes
H01/RackSlot1,cardboardbox05_v01,pipes
H01/RackSlot24,cardboardbox01_v01,pipes
H01/RackSlot19,cardboardbox05_v01,pipes
H01/RackSlot20,cardboardbox01_v01,gpu
H01/RackSlot22,cardboardbox01_v02D,cpu
H01/RackSlot9,cardboardbox01_v02D,pipes
H01/RackSlot10,cardboardbox01_v02D,pipes
H01/RackSlot6,cardboardbox01_v02D,pipes
H01/RackSlot18,cardboardbox01_v02D,nails
H01/RackSlot8,cardboardbox05_v01,pipes
H01/RackSlot23,cardboardbox05_v01,pipes
H01/RackSlot5,cardboardbox05_v01,pipes
H01/RackSlot21,cardboardbox05_v01,nails
L10/RackSlot14,cardboardbox05_v01,hammers
L10/RackSlot3,cardboardbox01_v02D,hammers
L10/RackSlot5,cardboardbox01_v01,hammers
L10/RackSlot10,cardboardbox01_v02D,gpu
L10/RackSlot16,cardboardbox05_v01,hammers
L10/RackSlot13,cardboardbox05_v01,hammers
L10/RackSlot21,cardboardbox01_v02D,cpu
L10/RackSlot18,cardboardbox01_v02D,hammers
L10/RackSlot24,cardboardbox01_v01,hammers
L10/RackSlot9,cardboardbox01_v01,hammers
L10/RackSlot4,cardboardbox01_v01,cpu
L10/RackSlot23,cardboardbox01_v02D,hammers
L10/RackSlot20,cardboardbox01_v02D,hammers
L10/RackSlot11,cardboardbox05_v01,hammers
L10/RackSlot12,cardboardbox05_v01,hammers
L10/RackSlot1,cardboardbox01_v02D,hammers
L09/RackSlot2,cardboardbox05_v01,hammers
L09/RackSlot19,cardboardbox01_v01,hammers
L09/RackSlot5,cardboardbox01_v02D,hammers
L09/RackSlot16,cardboardbox05_v01,gpu
L09/RackSlot8,cardboardbox05_v01,nails
L09/RackSlot3,cardboardbox05_v01,pipes
L09/RackSlot15,cardboardbox01_v02D,hammers
L09/RackSlot7,cardboardbox01_v01,hammers
L09/RackSlot9,cardboardbox05_v01,hammers
L09/RackSlot24,cardboardbox01_v02D,hammers
L09/RackSlot22,cardboardbox01_v02D,cpu
L09/RackSlot4,cardboardbox01_v01,hammers
L09/RackSlot21,cardboardbox01_v01,hammers
L09/RackSlot20,cardboardbox01_v02D,hammers
L09/RackSlot10,cardboardbox01_v02D,hammers
L09/RackSlot1,cardboardbox05_v01,hammers
L06/RackSlot17,cardboardbox01_v02D,hammers
L06/RackSlot7,cardboardbox01_v01,motherboard
L06/RackSlot23,cardboardbox01_v02D,hammers
L06/RackSlot24,cardboardbox01_v02D,nails
L06/RackSlot11,cardboardbox01_v02D,hammers
L06/RackSlot16,cardboardbox05_v01,hammers
L06/RackSlot8,cardboardbox05_v01,hammers
L06/RackSlot9,cardboardbox01_v02D,cpu
L06/RackSlot5,cardboardbox05_v01,hammers
L06/RackSlot14,cardboardbox01_v01,hammers
L06/RackSlot22,cardboardbox05_v01,hammers
L06/RackSlot18,cardboardbox01_v01,hammers
L06/RackSlot6,cardboardbox01_v02D,gpu
L06/RackSlot4,cardboardbox01_v02D,hammers
L06/RackSlot21,cardboardbox05_v01,hammers
L06/RackSlot1,cardboardbox05_v01,hammers
L05/RackSlot23,cardboardbox05_v01,hammers
L05/RackSlot6,cardboardbox01_v01,pipes
L05/RackSlot7,cardboardbox01_v01,hammers
L05/RackSlot9,cardboardbox01_v01,hammers
L05/RackSlot20,cardboardbox05_v01,hammers
L05/RackSlot2,cardboardbox01_v01,hammers
L05/RackSlot1,cardboardbox01_v02D,hammers
L05/RackSlot5,cardboardbox05_v01,hammers
L05/RackSlot11,cardboardbox01_v02D,hammers
L05/RackSlot19,cardboardbox01_v01,cpu
L05/RackSlot4,cardboardbox01_v01,cpu
L05/RackSlot21,cardboardbox01_v01,hammers
L05/RackSlot13,cardboardbox01_v01,hammers
L05/RackSlot10,cardboardbox05_v01,hammers
L05/RackSlot8,cardboardbox01_v01,hammers
L05/RackSlot3,cardboardbox05_v01,hammers
L08/RackSlot6,cardboardbox01_v02D,hammers
L08/RackSlot12,cardboardbox05_v01,hammers
L08/RackSlot13,cardboardbox01_v02D,hammers
L08/RackSlot1,cardboardbox01_v01,hammers
L08/RackSlot8,cardboardbox01_v02D,motherboard
L08/RackSlot5,cardboardbox05_v01,cpu
L08/RackSlot11,cardboardbox01_v02D,hammers
L08/RackSlot20,cardboardbox01_v01,hammers
L08/RackSlot24,cardboardbox01_v02D,hammers
L08/RackSlot22,cardboardbox01_v01,hammers
L08/RackSlot14,cardboardbox01_v02D,gpu
L08/RackSlot4,cardboardbox05_v01,gpu
L08/RackSlot3,cardboardbox01_v02D,hammers
L08/RackSlot18,cardboardbox01_v02D,hammers
L08/RackSlot23,cardboardbox05_v01,hammers
L08/RackSlot19,cardboardbox01_v01,hammers
L07/RackSlot19,cardboardbox01_v02D,hammers
L07/RackSlot11,cardboardbox01_v01,hammers
L07/RackSlot16,cardboardbox05_v01,nails
L07/RackSlot18,cardboardbox05_v01,hammers
L07/RackSlot8,cardboardbox01_v02D,pipes
L07/RackSlot2,cardboardbox01_v01,motherboard
L07/RackSlot13,cardboardbox01_v01,hammers
L07/RackSlot7,cardboardbox01_v01,hammers
L07/RackSlot3,cardboardbox05_v01,hammers
L07/RackSlot23,cardboardbox01_v01,hammers
L07/RackSlot21,cardboardbox01_v01,motherboard
L07/RackSlot9,cardboardbox01_v01,hammers
L07/RackSlot15,cardboardbox01_v02D,hammers
L07/RackSlot24,cardboardbox05_v01,motherboard
L07/RackSlot17,cardboardbox01_v02D,hammers
L07/RackSlot6,cardboardbox01_v01,hammers
L04/RackSlot2,cardboardbox01_v02D,hammers
L04/RackSlot21,cardboardbox01_v01,hammers
L04/RackSlot19,cardboardbox05_v01,pipes
L04/RackSlot4,cardboardbox05_v01,hammers
L04/RackSlot22,cardboardbox01_v02D,hammers
L04/RackSlot15,cardboardbox01_v01,gpu
L04/RackSlot8,cardboardbox05_v01,hammers
L04/RackSlot11,cardboardbox01_v01,pipes
L04/RackSlot10,cardboardbox05_v01,hammers
L04/RackSlot9,cardboardbox05_v01,hammers
L04/RackSlot23,cardboardbox01_v02D,hammers
L04/RackSlot17,cardboardbox01_v02D,cpu
L04/RackSlot18,cardboardbox05_v01,hammers
L04/RackSlot3,cardboardbox01_v02D,hammers
L04/RackSlot5,cardboardbox01_v01,hammers
L04/RackSlot6,cardboardbox05_v01,hammers
L03/RackSlot18,cardboardbox01_v01,hammers
L03/RackSlot9,cardboardbox01_v02D,nails
L03/RackSlot19,cardboardbox01_v01,gpu
L03/RackSlot13,cardboardbox01_v02D,hammers
L03/RackSlot8,cardboardbox05_v01,motherboard
L03/RackSlot1,cardboardbox01_v02D,hammers
L03/RackSlot15,cardboardbox01_v02D,hammers
L03/RackSlot24,cardboardbox01_v02D,pipes
L03/RackSlot6,cardboardbox01_v01,hammers
L03/RackSlot7,cardboardbox05_v01,nails
L03/RackSlot21,cardboardbox05_v01,hammers
L03/RackSlot17,cardboardbox01_v02D,hammers
L03/RackSlot14,cardboardbox05_v01,pipes
L03/RackSlot11,cardboardbox01_v02D,motherboard
L03/RackSlot22,cardboardbox01_v02D,nails
L03/RackSlot23,cardboardbox05_v01,hammers
L02/RackSlot16,cardboardbox01_v01,cpu
L02/RackSlot12,cardboardbox01_v02D,motherboard
L02/RackSlot2,cardboardbox01_v02D,hammers
L02/RackSlot1,cardboardbox05_v01,hammers
L02/RackSlot19,cardboardbox01_v02D,gpu
L02/RackSlot4,cardboardbox01_v02D,hammers
L02/RackSlot22,cardboardbox05_v01,hammers
L02/RackSlot23,cardboardbox01_v02D,gpu
L02/RackSlot9,cardboardbox05_v01,hammers
L02/RackSlot21,cardboardbox01_v02D,hammers
L02/RackSlot14,cardboardbox05_v01,hammers
L02/RackSlot20,cardboardbox01_v02D,hammers
L02/RackSlot18,cardboardbox05_v01,hammers
L02/RackSlot11,cardboardbox01_v01,hammers
L02/RackSlot13,cardboardbox05_v01,hammers
L02/RackSlot3,cardboardbox05_v01,hammers
L01/RackSlot7,cardboardbox01_v02D,hammers
L01/RackSlot1,cardboardbox01_v01,hammers
L01/RackSlot14,cardboardbox05_v01,hammers
L01/RackSlot18,cardboardbox05_v01,hammers
L01/RackSlot3,cardboardbox01_v02D,gpu
L01/RackSlot9,cardboardbox05_v01,nails
L01/RackSlot19,cardboardbox01_v02D,hammers
L01/RackSlot5,cardboardbox01_v01,hammers
L01/RackSlot16,cardboardbox01_v01,hammers
L01/RackSlot11,cardboardbox01_v02D,hammers
L01/RackSlot2,cardboardbox05_v01,cpu
L01/RackSlot8,cardboardbox05_v01,hammers
L01/RackSlot15,cardboardbox01_v02D,hammers
L01/RackSlot4,cardboardbox05_v01,hammers
L01/RackSlot23,cardboardbox01_v02D,nails
L01/RackSlot10,cardboardbox05_v01,nails
B04/RackSlot24,cardboardbox01_v02D,cpu
B04/RackSlot5,cardboardbox01_v02D,motherboard
B04/RackSlot10,cardboardbox05_v01,cpu
B04/RackSlot8,cardboardbox01_v02D,cpu
B04/RackSlot23,cardboardbox05_v01,cpu
B04/RackSlot17,cardboardbox01_v01,cpu
B04/RackSlot15,cardboardbox05_v01,hammers
